review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
Ok service overall and good customer service from contact centre advisor. However poor customer journey because I was allowed to pick a date for fitting and then told next day this wasn’t available and then took 3/4 days to finally get a date for fitting. Tried to arrange this through email with agent but response was very slow and ended up having to call and arrange new appointment,advisoragent service positive,response time negative,ease of booking negative,,,,,,,,,,,,ok service overall good customer service contact centre advisor . however poor customer journey allowed pick date fitting told next day ’ available took 3/4 day finally get date fitting . tried arrange email agent response slow ended call arrange new appointment,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"I got a set of Michelin's for a BMW M3 (e46).... and i was really impressed with, firstly the price and equally so how well they perform in the wet.....this is the 2nd full set ive purchased through [REDACTED], but it won't be the last.Great cost and had them fitted at my local ATS garage (South Shields branch), who are always polite, professional and knowledgeable.[REDACTED].com highly recommended by www.irongatelocksmiths. co. uk",tyre quality positive,value for money positive,garage service positive,,,,,,,,,,,,"got set michelin 's bmw m3 ( e46 ) .... really impressed , firstly price equally well perform wet ..... 2nd full set ive purchased [ redacted ] , wo n't last.great cost fitted local at garage ( south shield branch ) , always polite , professional knowledgeable . [ redacted ] .com highly recommended www.irongatelocksmiths . co. uk","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Brilliant experience from start to finish. Easy to order and the garage were superb!,garage service positive,,,,,,,,,,,,,,brilliant experience start finish . easy order garage superb !,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great Service. Great service, great price !!",value for money positive,,,,,,,,,,,,,,"great service . great service , great price ! !","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very quick. Very easy. Cheapest price around.,value for money positive,,,,,,,,,,,,,,quick . easy . cheapest price around .,[],[]
EXCELLENT SERVICE NO PROBLEMS AT ALL WELL SATISFIED FIRST CLASS TYRES,tyre quality positive,,,,,,,,,,,,,,excellent service problem well satisfied first class tyre,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent service and price !!!,value for money positive,,,,,,,,,,,,,,excellent service price ! ! !,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Bang on. Very quick, very courteous service. I was late (got delayed through Dartford tunnel) and was politely informed that if the work took longer than what was left of my slot I'd have to come back another day to make way for the next customer when they arrived in time. Didn't need to in the end but thought that was a really well positioned communication that showed how they were serious about ensuring everyone got good service.",garage service positive,,,,,,,,,,,,,,"bang . quick , courteous service . late ( got delayed dartford tunnel ) politely informed work took longer left slot 'd come back another day make way next customer arrived time . n't need end thought really well positioned communication showed serious ensuring everyone got good service .","[('Garage service', 'aspect'), ('Wait time', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Wait time', 'aspect', 'positive')]"
Fantastic service fantastic price and best of all local garage,garage service positive,location positive,value for money positive,,,,,,,,,,,,fantastic service fantastic price best local garage,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Amazing service and the garage used were once again top drawer.,garage service positive,,,,,,,,,,,,,,amazing service garage used top drawer .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Very easy to deal with, tyres delivered to selected fitter next day. Overall very satisfied",ease of booking positive,,,,,,,,,,,,,,"easy deal , tyre delivered selected fitter next day . overall satisfied",[],[]
Good service at a good price.,value for money positive,,,,,,,,,,,,,,good service good price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent service and ease of use of website to then have tyres fitted locally 👍,location positive,,,,,,,,,,,,,,excellent service ease use website tyre fitted locally 👍,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Amazing service and excellent experience as a customer.,advisoragent service positive,,,,,,,,,,,,,,amazing service excellent experience customer .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Good range of options, reasonable price, convenience.",value for money positive,,,,,,,,,,,,,,"good range option , reasonable price , convenience .",[],[]
Easy to set up and the fitting station were professional. Happy with the price paid.,garage service positive,value for money positive,,,,,,,,,,,,,easy set fitting station professional . happy price paid .,[],[]
"Excellent rates, clear process and description.",value for money positive,,,,,,,,,,,,,,"excellent rate , clear process description .",[],[]
The fitting date posponed twice.,change of date positive,,,,,,,,,,,,,,fitting date posponed twice .,[],[]
Quick and prompt delivery of service .,delivery punctuality positive,,,,,,,,,,,,,,quick prompt delivery service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Fantastic prices and service.,value for money positive,,,,,,,,,,,,,,fantastic price service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Having bought the tyres I was the following day offered a 10% discount.,discounts negative,,,,,,,,,,,,,,bought tyre following day offered 10 % discount .,[],[]
It was easy and straight forward. The guy that fixed my four tyres was very detailed and thorough. Overall transaction and service was superb. Thank you.,garage service positive,,,,,,,,,,,,,,easy straight forward . guy fixed four tyre detailed thorough . overall transaction service superb . thank .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to organise , delivered next day . Value for money . Couldn’t ask for better service .",value for money positive,ease of booking positive,,,,,,,,,,,,,"easy organise , delivered next day . value money . ’ ask better service .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"[REDACTED] I found a very good efficient service. [REDACTED] I found a very good company, The Michelin tyres that I choose were cheaper than any other site I looked at. Choosing a garage to fit the tyres, Everything was carried out efficiently.",garage service positive,value for money positive,,,,,,,,,,,,,"[ redacted ] found good efficient service . [ redacted ] found good company , michelin tyre choose cheaper site looked . choosing garage fit tyre , everything carried efficiently .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I chose six because you didn’t manage to get the tyre to the garage on the day I first arranged had to book another time and date,delivery punctuality negative,change of date negative,,,,,,,,,,,,,chose six ’ manage get tyre garage day first arranged book another time date,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'neutral'), ('Ease of booking', 'aspect', 'neutral')]"
